id,value,weight,ref_info,sujet,objet,pers
1,"{ .sujet.sujet({ .tierce = .info.acteur; .tierce.coi(dédi{ .sujet.n(e,ons) } {.sujet.comp(la fortune) }) }); }",10,1,sujet,,
2,"Yes { .objet.gn(le mec,la meuf,les gens,les meufs) } { .objet.est } dead",10,1,tierce,sujet,
5,"Yes { .objet.gn(le mec,la meuf,les gens,les meufs) } { .objet.est } dead",10,5,tierce,sujet,
6,Adieu salope{ .objet.s },10,7,sujet,objet,
7,"Yes { .objet.gn(le mec,la meuf,les gens,les meufs) } { .objet.est } dead",10,7,sujet,objet,
8,Adieu salope,10,8,sujet,,
9,Yes le mec est dead,10,8,sujet,,
10,"Désolé{ .sujet.es} { .sujet.n(j’ai,on a) } pas fait exprès",10,,coupable,,
11,Il y aura du lourd dans les featurings,10,16,sujet,,
12,{ `.pers_decla = .info.acteur`.sujet({ .pers_decla.sera }) } présent{ .pers_decla.es },10,16,sujet,,
13,Le projet il est prêt il arrive,10,16,sujet,,
17,{ `.pers_decla = .info.acteur`.sujet({ .pers_decla.a }) } endetté la France,10,21,sujet,,
19,"{ .objet.to_2e_personne.sujet({ .objet.n(vas,allez) }) } { .sujet.coi(le payer cher) }",10,,victime,coupable,
20,Bon shit ça mère,1,30,sujet,,
21,Casse la gorge,1,30,sujet,,
22,"{ `o = .objet.to_2e_personne`.sujet({ o.n(clashes,clashez) }) } dès que quelqu’un met une vidéo en ligne",1,48,objet,sujet,
23,"{ .sujet.sujet({ .sujet.n(hallucine,hallucinons) }) } { `o = .objet.to_2e_personne`.sujet({ o.n(oses,osez) }) } dire { .sujet.nom } { .sujet.gn(le mongolien,la mongolienne,les mongoliens,les mongoliennes) } ?",10,48,objet,sujet,
24,"{ .sujet.sujet({ .sujet.n(hallucine,hallucinons) }) } { `o = .objet.to_2e_personne`.sujet({ o.n(oses,osez) }) } dire { .sujet.nom } { .sujet.gn(le mongolien,la mongolienne,les mongoliens,les mongoliennes) } ? OK très bien, { o.n(rappelles,rappelez) }-{ .sujet.n(moi,nous) } { o.n(ton prénom,vos prénoms) } { o.nom }",10,48,objet,sujet,
25,"Désolé{ .sujet.es } { .sujet.n(je ne savais,nous ne savions) } pas que c’était interdit",10,,coupable,,
29,Wallah wallah wallah village de merde,10,73,sujet,,
1000,Et { `decla1000ratio = new_acteur(ce ratio)`.tonique_explicite } { .info.action.val(sujet: decla1000ratio) } ?( 🤣)?,20,,sujet,,
1001,Et { `decla1001ratio = new_acteur(ce ratio)`.tonique_explicite } { .info.motif.val(sujet: decla1001ratio) } ?( 🤣)?,20,,coupable,,
1002,Oof,20,,tierce,coupable,
1003,Oof,20,,tierce,victime,
1004,((C’est )?littéralement )?1984,20,,coupable,,
